a	(-AH0_)
coody	(K-UW1_W)(D-IY0_Y)
coogan	(K-UW1_W)(G-AH0_N)
coogle	(K-UW1_W)(G-AH0_L)
coogler	(K-UW1_W)(G-AH0_)(L-ER0_)
cooing	(K-UW1_W)(-IH0_NX)
cook	(K-UH1_K)
cookbook	(K-UH1_K)(B-UH2_K)
cookbooks	(K-UH1_K)(B-UH2_K S)
cooke	(K-UH1_K)
cooked	(K-UH1_K T)
cooker	(K-UH1_)(K-ER0_)
cookers	(K-UH1_)(K-ER0_Z)
cookie	(K-UH1_)(K-IY0_Y)
cookies	(K-UH1_)(K-IY0_Y Z)
cooking	(K-UH1_)(K-IH0_NX)
cookingham	(K-UH1_)(K-IH0_NX)(HH-AE0_M)
cookman	(K-UH1_K)(M-AH0_N)
cookout	(K-UH1_)(K-AA2_W T)
cookouts	(K-UH1_)(K-AA2_W T S)
cooks	(K-UH1_K S)
cooksey	(K-UH1_K)(S-IY0_Y)
cookson	(K-UH1_K)(S-AH0_N)
cookston	(K-UH1_K)(S T-AH0_N)
cookware	(K-UH1_)(K W-EH2_R)
cool	(K-UW1_W L)
coolant	(K-UW1_W)(L-AH0_N T)
coolants	(K-UW1_W)(L-AH0_N T S)
coolbaugh	(K-UW1_W L)(B-AO2_)
coole	(K-UW1_W L)
cooled	(K-UW1_W L D)
cooler	(K-UW1_W)(L-ER0_)
coolers	(K-UW1_W)(L-ER0_Z)
coolest	(K-UW1_W)(L-AH0_S T)
cooley	(K-UW1_W)(L-IY0_Y)
coolidge	(K-UW1_W)(L-IH0_JH)
cooling	(K-UW1_W)(L-IH0_NX)
coolio	(K-UW1_W)(L-IY2_Y)(-OW0_W)
coolly	(K-UW1_W)(L-IY0_Y)
coolman	(K-UW1_W L)(M-AH0_N)
coolness	(K-UW1_W L)(N-AH0_S)
cools	(K-UW1_W L Z)
coombe	(K-UW1_W M B)
coombes	(K-UW1_W M B Z)
coombs	(K-UW1_W M Z)
coomer	(K-UW1_W)(M-ER0_)
coomes	(K-UW1_W M Z)
coon	(K-UW1_W N)
coonan	(K-UW1_W)(N-AH0_N)
coonce	(K-UW1_W N S)
coone	(K-UW1_W N)
cooner	(K-UW1_W)(N-ER0_)
coones	(K-UW1_W N Z)
cooney	(K-UW1_W)(N-IY0_Y)
coonradt	(K-UW1_W N)(R-AE0_T)
coonrod	(K-UW1_W N)(R-AA2_D)
coons	(K-UW1_W N Z)
coontz	(K-UW1_W N T S)
coop	(K-UW1_W P)
cooped	(K-UW1_W P T)
cooper	(K-UW1_W)(P-ER0_)
cooperage	(K-UW1_W)(P-ER0_)(-AH0_JH)
cooperate	(K-OW0_W)(-AA1_)(P-ER0_)(-EY2_Y T)
cooperated	(K-OW0_W)(-AA1_)(P-ER0_)(-EY2_Y)(T-AH0_D)
cooperates	(K-OW0_W)(-AA1_)(P-ER0_)(-EY2_Y T S)
cooperating	(K-OW0_W)(-AA1_)(P-ER0_)(-EY2_Y)(T-IH0_NX)
cooperation	(K-OW0_W)(-AA2_)(P-ER0_)(-EY1_Y)(SH-AH0_N)
cooperations	(K-OW0_W)(-AA2_)(P-ER0_)(-EY1_Y)(SH-AH0_N Z)
cooperative	(K-OW0_W)(-AA1_)(P-ER0_)(-EY2_Y)(T-IH0_V)
cooperatively	(K-OW0_W)(-AA1_)(P R-AH0_)(T-IH0_V)(L-IY0_Y)
cooperatives	(K-OW0_W)(-AA1_)(P R-AH0_)(T-IH0_V Z)
cooperider	(K-UW1_W)(P-ER0_)(-AA0_Y)(D-ER0_)
cooperman	(K-UW1_W)(P-ER0_)(M-AE2_N)
cooperrider	(K-UW1_W)(P-ER0_)(-AA0_Y)(D-ER0_)
coopers	(K-UW1_W)(P-ER0_Z)
coopersmith	(K-UW1_W)(P-ER0_)(S M-IH2_TH)
cooperstein	(K-UW1_W)(P-ER0_)(S T-AA2_Y N)
cooperstown	(K-UW1_W)(P-ER0_Z)(T-AA2_W N)
coopervision	(K-UW1_W)(P-ER0_)(V-IH2_)(ZH-AH0_N)
coopman	(K-UW1_W P)(M-AH0_N)
cooprider	(K-UW1_W)(P R-AA2_Y)(D-ER0_)
coordinate	(K-OW0_W)(-AO1_R)(D-AH0_)(N-AH0_T)
coordinated	(K-OW0_W)(-AO1_R)(D-AH0_)(N-EY0_Y)(T-IH0_D)
coordinates	(K-OW0_W)(-AO1_R)(D-AH0_)(N-AH0_T S)
coordinating	(K-OW0_W)(-AO1_R)(D-AH0_)(N-EY2_Y)(T-IH0_NX)
coordination	(K-OW0_W)(-AO2_R)(D-AH0_)(N-EY1_Y)(SH-AH0_N)
coordinator	(K-OW0_W)(-AO1_R)(D-AH0_)(N-EY2_Y)(T-ER0_)
coordinators	(K-OW0_W)(-AO1_R)(D-AH0_)(N-EY2_Y)(T-ER0_Z)
coors	(K-UW1_W R Z)
coos	(K-UW1_W S)
coosa	(K-UW1_W)(S-AH0_)
coot	(K-UW1_W T)
coote	(K-UW1_W T)
cooter	(K-UW1_W)(T-ER0_)
coots	(K-UW1_W T S)
coover	(K-UW1_W)(V-ER0_)
coovick	(K-UW1_W)(V-IH0_K)
cop	(K-AA1_P)
copa	(K-OW1_W)(P-AH0_)
copacabana	(K-OW2_W)(P-AH0_)(K-AH0_)(B-AE1_)(N-AH0_)
copartner	(K-OW1_W)(P-AA2_R T)(N-ER0_)
copartners	(K-OW1_W)(P-AA2_R T)(N-ER0_Z)
copas	(K-OW1_W)(P-AH0_Z)
copayment	(K-OW1_W)(P-EY1_Y)(M-AH0_N T)
copayments	(K-OW1_W)(P-EY1_Y)(M-AH0_N T S)
copco	(K-AA1_P)(K-OW0_W)
cope	(K-OW1_W P)
coped	(K-OW1_W P T)
copelan	(K-AA1_)(P-IH0_)(L-AE0_N)
copeland	(K-OW1_W)(P L-AH0_N D)
copelco	(K-OW2_W)(P-EH1_L)(K-OW0_W)
copelin	(K-AA1_)(P-IH0_)(L-IH0_N)
copeman	(K-OW1_W P)(M-AH0_N)
copen	(K-OW1_W)(P-AH0_N)
copenhagen	(K-OW2_W)(P-AH0_N)(HH-EY1_Y)(G-AH0_N)
copenhaver	(K-AH0_)(P-EH1_N)(HH-AH0_)(V-ER0_)
copernican	(K-AH0_)(P-ER1_)(N-AH0_)(K-AH0_N)
copernicus	(K-AH0_)(P-ER1_)(N-AH0_)(K-AH0_S)
copes	(K-OW1_W P S)
copetas	(K-AH0_)(P-EY1_Y)(T-AH0_S)
copher	(K-AA1_)(F-ER0_)
copiague	(K-OW1_W)(P-IY0_Y)(-AE0_G)
copied	(K-AA1_)(P-IY0_Y D)
copier	(K-AA1_)(P-IY0_Y)(-ER0_)
copiers	(K-AA1_)(P-IY0_Y)(-ER0_Z)
copies	(K-AA1_)(P-IY0_Y Z)
copilot	(K-OW1_W)(P-AA0_Y)(L-AH0_T)
coping	(K-OW1_W)(P-IH0_NX)
copious	(K-OW1_W)(P-IY0_Y)(-AH0_S)
coplan	(K-AA1_)(P L-AH0_N)
copland	(K-AA1_)(P L-AH0_N D)
coplen	(K-AA1_)(P-AH0_)(L-AH0_N)
copley	(K-AA1_)(P L-IY0_Y)
copleys	(K-AA1_)(P L-IY0_Y Z)
coplin	(K-AA1_)(P L-IH0_N)
copolla	(K-OW0_W)(P-OW1_W)(L-AH0_)
copp	(K-AA1_P)
coppa	(K-OW1_W)(P-AH0_)
coppage	(K-AA1_)(P-IH0_JH)
copped	(K-AA1_P T)
coppedge	(K-AA1_)(P-IH0_JH)
coppee	(K-AA1_)(P-IY1_Y)
coppel	(K-AA1_)(P-AH0_L)
coppens	(K-AA1_)(P-AH0_N Z)
copper	(K-AA1_)(P-ER0_)
copperfield	(K-AA1_)(P-ER0_)(F-IY2_Y L D)
copperfields	(K-AA1_)(P-ER0_)(F-IY2_Y L D Z)
copperhead	(K-AA1_)(P-ER0_)(HH-EH2_D)
copperheads	(K-AA1_)(P-ER0_)(HH-EH2_D Z)
copperman	(K-AA1_)(P-ER0_)(M-AH0_N)
coppernoll	(K-AH0_)(P-ER1_)(N-OW0_W L)
coppers	(K-AA1_)(P-ER0_Z)
coppersmith	(K-AA1_)(P-ER0_)(S M-IH2_TH)
copperweld	(K-AA1_)(P-ER0_)(W-EH2_L D)
coppery	(K-AA1_)(P-ER0_)(-IY0_Y)
coppess	(K-AA1_)(P-AH0_S)
coppin	(K-AA1_)(P-IH0_N)
copping	(K-AA1_)(P-IH0_NX)
coppinger	(K-AA1_)(P-IH0_N)(G-ER0_)
coppins	(K-AA1_)(P-IH0_N Z)
copple	(K-AA1_)(P-AH0_L)
coppock	(K-AA1_)(P-AH0_K)
coppola	(K-OW0_W)(P-OW1_W)(L-AH0_)
coppolino	(K-OW0_W)(P-OW0_W)(L-IY1_Y)(N-OW0_W)
copps	(K-AA1_P S)
copra	(K-OW1_W)(P R-AH0_)
coprocessor	(K-OW1_W)(P R-AA1_)(S-EH0_)(S-ER0_)
coprocessors	(K-OW1_W)(P R-AA1_)(S-EH0_)(S-ER0_Z)
cops	(K-AA1_P S)
copsey	(K-AA1_P)(S-IY0_Y)
coptic	(K-AA1_P)(T-IH0_K)
copulate	(K-AA1_)(P Y-AH0_)(L-EY2_Y T)
copus	(K-OW1_W)(P-AH0_S)
copy	(K-AA1_)(P-IY0_Y)
copycat	(K-AA1_)(P-IY0_Y)(K-AE2_T)
copycats	(K-AA1_)(P-IY0_Y)(K-AE2_T S)
copycatting	(K-AA1_)(P-IY0_Y)(K-AE2_)(T-IH0_NX)
copycode	(K-AA1_)(P-IY0_Y)(K-OW2_W D)
copying	(K-AA1_)(P-IY0_Y)(-IH0_NX)
copyreader	(K-AA1_)(P-IY0_Y)(R-IY2_Y)(D-ER0_)
copyreaders	(K-AA1_)(P-IY0_Y)(R-IY2_Y)(D-ER0_Z)
copyright	(K-AA1_)(P-IY0_Y)(R-AA2_Y T)
copyrightable	(K-AA1_)(P-IY0_Y)(R-AA2_Y)(T-AH0_)(B-AH0_L)
copyrighted	(K-AA1_)(P-IY0_Y)(R-AA2_Y)(T-IH0_D)
copyrights	(K-AA1_)(P-IY0_Y)(R-AA2_Y T S)
copytele	(K-AA1_)(P-IY0_Y)(T-EH2_)(L-AH0_)
copywrite	(K-AA1_)(P-IY0_Y)(R-AA2_Y T)
copywrited	(K-AA1_)(P-IY0_Y)(R-AA2_Y)(T-IH0_D)
copywriter	(K-AA1_)(P-IY0_Y)(R-AA2_Y)(T-ER0_)
copywriters	(K-AA1_)(P-IY0_Y)(R-AA2_Y)(T-ER0_Z)
cor	(K-AO1_R)
cora	(K-AO1_)(R-AH0_)
corabelle	(K-AO1_)(R-AH0_)(B-AH0_L)
coracle	(K-AO1_)(R-AH0_)(K-AH0_L)
coral	(K-AO1_)(R-AH0_L)
coralie	(K-AO1_)(R-AH0_)(L-IY0_Y)
coraline	(K-AO1_)(R-AH0_)(L-AA2_Y N)
corallo	(K-AO2_)(R-AE1_)(L-OW0_W)
corals	(K-AO1_)(R-AH0_L Z)
coram	(K-AO1_)(R-AE2_M)
corath	(K-AO1_)(R-AE1_TH)
corazon	(K-AO1_)(R-AH0_)(Z-OW2_W N)
corban	(K-AO1_R)(B-AH0_N)
corbeil	(K-AO1_R)(B-AA2_Y L)
corbel	(K-AO1_R)(B-AH0_L)
corbell	(K-AO1_R)(B-EH0_L)
corbelled	(K-AO1_R)(B-AH0_L D)
corbello	(K-ER0_)(B-EH1_)(L-OW0_W)
corbet	(K-AO1_R)(B-IH0_T)
corbett	(K-AO1_R)(B-IH0_T)
corbin	(K-AO1_R)(B-IH0_N)
corbit	(K-AO1_R)(B-IH0_T)
corbitt	(K-AO1_R)(B-IH0_T)
corbo	(K-AO1_R)(B-OW0_W)
corbridge	(K-AO1_R)(B R-IH0_JH)
corbu	(K-AO2_R)(B-UW1_W)
corbusier	(K-AO2_R)(B Y-UW1_W S)(Y-ER0_)
corby	(K-AO1_R)(B-IY0_Y)
corcap	(K-AO1_R)(K-AE2_P)
corcoran	(K-AO1_R)(K-ER0_)(-AH0_N)
cord	(K-AO1_R D)
corda	(K-AO1_R)(D-AH0_)
cordage	(K-AO1_R)(D-AH0_JH)
cordaro	(K-ER0_)(D-AA1_)(R-OW0_W)
cordasco	(K-ER0_)(D-AA1_)(S K-OW0_W)
corday	(K-AO1_R)(D-EY2_Y)
corded	(K-AO1_R)(D-AH0_D)
cordeiro	(K-ER0_)(D-EH1_)(R-OW0_W)
cordell	(K-AO2_R)(D-EH1_L)
corder	(K-AO1_R)(D-ER0_)
cordero	(K-ER0_)(D-EH1_)(R-OW0_W)
cordes	(K-AO1_R D Z)
cordesman	(K-AO1_R)(D-AH0_)(S M-AH0_N)
cordial	(K-AO1_R)(JH-AH0_L)
cordially	(K-AO1_R)(JH-AH0_)(L-IY0_Y)
cordiant	(K-AO1_R)(D-IY0_Y)(-AH0_N T)
cordie	(K-AO1_R)(D-IY0_Y)
cordier	(K-AO1_R)(D-IY0_Y)(-ER0_)
cordill	(K-AO1_R)(D-AH0_L)
cording	(K-AO1_R)(D-IH0_NX)
cordis	(K-AO1_R)(D-IH0_S)
cordle	(K-AO1_R)(D-AH0_L)
cordless	(K-AO1_R D)(L-AH0_S)
cordner	(K-AO1_R D)(N-ER0_)
cordoba	(K-AO2_R)(D-OW1_W)(B-AH0_)
cordobas	(K-AO2_R)(D-OW1_W)(B-AH0_Z)
cordon	(K-AO1_R)(D-AH0_N)
cordone	(K-AO1_R)(D-AH0_N)
cordoned	(K-AO1_R)(D-AH0_N D)
cordova	(K-AO2_R)(D-OW1_W)(V-AH0_)
cordover	(K-AO1_R)(D-OW2_W)(V-ER0_)
cordovez	(K-AO2_R)(D-OW1_W)(V-EH0_Z)
cordray	(K-AO1_R)(D R-EY2_Y)
cordrey	(K-AO1_R)(D R-IY0_Y)
cordry	(K-AO1_R)(D-ER0_)(-IY0_Y)
cords	(K-AO1_R D Z)
cordts	(K-AO1_R D T S)
corduroy	(K-AO1_R)(D-ER0_)(-OW2_Y)
cordy	(K-AO1_R)(D-IY0_Y)
core	(K-AO1_R)
corea	(K-AO0_)(R-IY1_Y)(-AH0_)
corel	(K-AO2_)(R-EH1_L)
corell	(K-AO2_)(R-EH1_L)
corella	(K-ER0_)(-EH1_)(L-AH0_)
coren	(K-AO1_)(R-AH0_N)
cores	(K-AO1_R Z)
corespondent	(K-AO2_)(R-AH0_)(S P-AA1_N)(D-AH0_N T)
corestate	(K-AO1_R)(S T-EY2_Y T)
corestates	(K-AO1_R)(S T-EY2_Y T S)
coretech	(K-AO1_R)(T-EH2_K)
coretta	(K-AO0_)(R-EH1_)(T-AH0_)
corette	(K-AO1_)(R-EH1_T)
corexit	(K-AO0_)(R-EH1_K)(S-IH0_T S)
corey	(K-AO1_)(R-IY0_Y)
corgi	(K-AO1_R)(G-IY0_Y)
coria	(K-AO1_)(R-IY0_Y)(-AH0_)
coriander	(K-AO2_)(R-IY0_Y)(-AE1_N)(D-ER0_)
coriell	(K-AO1_)(R-IY0_Y L)
corigliano	(K-ER0_)(-IY0_Y)(G L-IY0_Y)(-AA1_)(N-OW0_W)
corina	(K-AO2_)(R-IY1_Y)(N-AH0_)
corinn	(K-AO1_)(R-IH0_N)
corinna	(K-AO2_)(R-IH1_)(N-AH0_)
corinne	(K-ER0_)(-IY1_Y N)
corinth	(K-AO1_)(R-AH0_N TH)
corinthian	(K-ER0_)(-IH1_N)(TH-IY0_Y)(-AH0_N)
corinto	(K-AO2_)(R-IH1_N)(T-OW0_W)
corio	(K-AO1_)(R-IY0_Y)(-OW0_W)
corisa	(K-ER0_)(-IY1_Y)(S-AH0_)
corissa	(K-AO2_)(R-IH1_)(S-AH0_)
cork	(K-AO1_R K)
corken	(K-AO1_R)(K-AH0_N)
corker	(K-AO1_R)(K-ER0_)
corkern	(K-AO1_R)(K-ER0_N)
corkery	(K-AO1_R)(K-ER0_)(-IY0_Y)
corkill	(K-AO1_R)(K-IH2_L)
corking	(K-AO1_R)(K-IH0_NX)
corkins	(K-AO1_R)(K-IH0_N Z)
corkran	(K-AO1_R)(K R-AH0_N)
corks	(K-AO1_R K S)
corkscrew	(K-AO1_RK)(S K R-UW2_W)
corkum	(K-AO1_R)(K-AH0_M)
corkwood	(K-AO1_R)(K W-UH2_D)
corky	(K-AO1_R)(K-IY0_Y)
corl	(K-AO1_R L)
corle	(K-AO1_)(R-AH0_L)
corleone	(K-AO1_R)(L-IY0_Y)(-OW2_W N)
corless	(K-AO1_R)(L-IH0_S)
corlett	(K-AO1_R)(L-IH0_T)
corlew	(K-AO1_R)(L-UW0_W)
corley	(K-AO1_R)(L-IY0_Y)
corliss	(K-AO1_R)(L-IH0_S)
cormac	(K-AO1_R)(M-AH0_K)
cormack	(K-AO1_R)(M-AH0_K)
corman	(K-AO1_R)(M-AH0_N)
cormany	(K-AO1_R)(M-AH0_)(N-IY0_Y)
cormen	(K-AO1_R)(M-AH0_N)
cormican	(K-AO1_R)(M-IH0_)(K-AH0_N)
cormick	(K-AO1_R)(M-IH0_K)
cormier	(K-AO1_R)(M-IY0_Y)(-ER0_)
cormorant	(K-AO1_R)(M-ER0_)(-AH0_N T)
cormorants	(K-AO1_R)(M-ER0_)(-AH0_N T S)
corn	(K-AO1_R N)
cornacchia	(K-ER0_)(N-AA1_)(K-IY0_Y)(-AH0_)
cornall	(K-AO1_R)(N-AH0_L)
cornblume	(K-AO1_RN)(B L-UW2_W M)
cornbread	(K-AO1_RN)(B R-EH2_D)
corncob	(K-AO1_RN)(K-AA2_B)
corncrib	(K-AO1_RN)(K R-IH2_B)
corne	(K-AO1_R N)
cornea	(K-AO1_R)(N-IY0_Y)(-AH0_)
corneal	(K-AO2_R)(N-IY1_L)
corneas	(K-AO1_R)(N-IY0_Y)(-AH0_Z)
cornejo	(K-ER0_)(N-EY1_Y)(Y-OW0_W)
cornel	(K-AO1_R)(N-AH0_L)
cornela	(K-ER0_)(N-EH1_)(L-AH0_)
cornelia	(K-AO0_R)(N-IY1_L)(Y-AH0_)
cornelio	(K-ER0_)(N-EH1_)(L-IY0_Y)(-OW0_W)
cornelious	(K-AO1_R)(N-IH0_)(L-IY0_Y)(-IH0_S)
cornelison	(K-ER0_)(N-EH1_)(L-IH0_)(S-AH0_N)
cornelius	(K-AO0_R)(N-IY1_L)(Y-AH0_S)
corneliuson	(K-AO2_R)(N-IH0_)(L-IY0_Y)(-UW1_W)(S-AH0_N)
cornell	(K-AO0_R)(N-EH1_L)
cornelle	(K-ER0_)(N-EH1_L)
corner	(K-AO1_R)(N-ER0_)
cornerback	(K-AO1_R)(N-ER0_)(B-AE2_K)
cornered	(K-AO1_R)(N-ER0_D)
cornering	(K-AO1_R)(N-ER0_)(-IH0_NX)
corners	(K-AO1_R)(N-ER0_Z)
cornerstone	(K-AO1_R)(N-ER0_)(S T-OW2_W N)
cornerstones	(K-AO1_R)(N-ER0_)(S T-OW2_W N Z)
cornet	(K-AO0_R)(N-EH1_T)
cornett	(K-AO1_R)(N-IH0_T)
cornette	(K-ER0_)(N-EH1_T)
cornettist	(K-AO0_R)(N-EH1_)(T-AH0_S T)
corney	(K-AO1_R)(N-IY0_Y)
cornfeld	(K-AO1_RN)(F-EH2_L D)
cornfield	(K-AO1_RN)(F-IY2_Y L D)
cornfields	(K-AO1_RN)(F-IY1_L D Z)
cornflower	(K-AO1_RN)(F L-AA2_W)(-ER0_)
cornflowers	(K-AO1_RN)(F L-AA2_W)(-ER0_Z)
cornforth	(K-AO1_RN)(F-ER0_TH)
cornhusk	(K-AO1_RN)(HH-AH2_S K)
cornhusking	(K-AO1_RN)(HH-AH2_)(S K-IH0_NX)
cornia	(K-AO1_R)(N-IY0_Y)(-AH0_)
corniche	(K-AO1_R)(N-IH0_SH)
cornick	(K-AO1_R)(N-IH0_K)
cornie	(K-AO1_R)(N-IY0_Y)
corniel	(K-AO2_R)(N-IY1_L)
corning	(K-AO1_R)(N-IH0_NX)
cornish	(K-AO1_R)(N-IH0_SH)
cornman	(K-AO1_RN)(M-AH0_N)
cornmeal	(K-AO1_RN)(M-IY2_Y L)
corns	(K-AO1_R N Z)
cornstalk	(K-AO1_RN)(S T-AO2_K)
cornstalks	(K-AO1_RN)(S T-AO2_K S)
cornstarch	(K-AO1_RN)(S T-AA2_R CH)
cornucopia	(K-AO2_R)(N-AH0_)(K-OW1_W)(P-IY0_Y)(-AH0_)
cornwall	(K-AO1_RN)(W-AO0_L)
cornwallis	(K-AO0_RN)(W-AO1_)(L-AH0_S)
cornwell	(K-AO1_RN)(W-EH2_L)
corny	(K-AO1_R)(N-IY0_Y)
corolla	(K-ER0_)(-AA1_)(L-AH0_)
corollaries	(K-AO1_)(R-AH0_)(L-EH2_)(R-IY0_Y Z)
corollary	(K-AO1_)(R-AH0_)(L-EH2_)(R-IY0_Y)
corologis	(K-ER0_)(R-AA1_)(L-AH0_)(JH-IH0_S)
corona	(K-ER0_)(-OW1_W)(N-AH0_)
coronado	(K-ER0_)(-OW0_W)(N-AA1_)(D-OW0_W)
coronary	(K-AO1_)(R-AH0_)(N-EH2_)(R-IY0_Y)
coronation	(K-AO2_)(R-AH0_)(N-EY1_Y)(SH-AH0_N)
coroner	(K-AO1_)(R-AH0_)(N-ER0_)
coroners	(K-AO1_)(R-AH0_)(N-ER0_Z)
coronet	(K-AO1_)(R-AH0_)(N-EH1_T)
coronets	(K-AO1_)(R-AH0_)(N-EH1_T S)
corp	(K-AO1_R P)
corpening	(K-AO1_R)(P-AH0_)(N-IH0_NX)
corpora	(K-AO1_R)(P-ER0_)(-AH0_)
corporacion	(K-AO2_R)(P-ER0_)(-AA2_)(S-IY0_Y)(-OW1_W N)
corporal	(K-AO1_R)(P-ER0_)(-AH0_L)
corporate	(K-AO1_R)(P-ER0_)(-AH0_T)
corporates	(K-AO1_R)(P-ER0_)(-AH0_T S)
corporatewatch	(K-AO1_R)(P R-AH0_)(T W-AA2_CH)
corporatewide	(K-AO1_R)(P-ER0_)(-IH0_)(T W-AA2_Y D)
corporation	(K-AO2_R)(P-ER0_)(-EY1_Y)(SH-AH0_N)
corporations	(K-AO2_R)(P-ER0_)(-EY1_Y)(SH-AH0_N Z)
corporatism	(K-AO1_R)(P-ER0_)(-AH0_)(T-IH2_)(Z-AH0_M)
corporatist	(K-AO1_R)(P-ER0_)(-AH0_)(T-IH0_S T)
corps	(K-AO1_R)
corpse	(K-AO1_R P S)
corpses	(K-AO1_RP)(S-AH0_Z)
corpsman	(K-AO1_R)(M-AH0_N)
corpulant	(K-AO1_R)(P Y-AH0_)(L-AH0_N T)
corpus	(K-AO1_R)(P-AH0_S)
corpuz	(K-AO1_R)(P-UW0_W Z)
corr	(K-AO1_R)
corradi	(K-ER0_)(-AA1_)(D-IY0_Y)
corradino	(K-ER0_)(-AA0_)(D-IY1_Y)(N-OW0_W)
corrado	(K-ER0_)(-AA1_)(D-OW0_W)
corral	(K-ER0_)(-AE1_L)
corrales	(K-ER0_)(-AA1_)(L-EH0_S)
corralled	(K-ER0_)(-AE1_L D)
corralling	(K-ER0_)(-AE1_)(L-IH0_NX)
corrao	(K-AO1_)(R-AA0_W)
correa	(K-AO1_)(R-IY0_Y)(-AH0_)
correale	(K-AO1_)(R-IY0_Y)(-AH0_L)
correct	(K-ER0_)(-EH1_K T)
corrected	(K-ER0_)(-EH1_K)(T-AH0_D)
correcting	(K-ER0_)(-EH1_K)(T-IH0_NX)
correction	(K-ER0_)(-EH1_K)(SH-AH0_N)
correctional	(K-ER0_)(-EH1_K)(SH-AH0_)(N-AH0_L)
corrections	(K-ER0_)(-EH1_K)(SH-AH0_N Z)
corrective	(K-ER0_)(-EH1_K)(T-IH0_V)
correctly	(K-ER0_)(-EH1_KT)(L-IY0_Y)
correctness	(K-ER0_)(-EH1_KT)(N-AH0_S)
corrects	(K-ER0_)(-EH1_K T S)
corregidor	(K-ER0_)(-EH1_)(G-AH0_)(D-AO0_R)
correia	(K-ER0_)(-EY1_Y)(-IY0_Y)(-AH0_)
correira	(K-ER0_)(-EH1_)(R-AH0_)
correlate	(K-AO1_)(R-AH0_)(L-EY2_Y T)
correlated	(K-AO1_)(R-AH0_)(L-EY2_Y)(T-AH0_D)
correlates	(K-AO1_)(R-AH0_)(L-AH0_T S)
correlating	(K-AO1_)(R-AH0_)(L-EY0_Y)(T-IH0_NX)
correlation	(K-AO2_)(R-AH0_)(L-EY1_Y)(SH-AH0_N)
correlations	(K-AO2_)(R-AH0_)(L-EY1_Y)(SH-AH0_N Z)
correll	(K-ER0_)(-EY1_Y L)
correne	(K-AO1_)(R-IY0_Y N)
corrente	(K-ER0_)(-EH1_N)(T-IY0_Y)
correnti	(K-ER0_)(-EH1_N)(T-IY0_Y)
correspond	(K-AO2_)(R-AH0_)(S P-AA1_N D)
corresponded	(K-AO2_)(R-AH0_)(S P-AA1_N)(D-IH0_D)
correspondence	(K-AO2_)(R-AH0_)(S P-AA1_N)(D-AH0_N S)
correspondent	(K-AO2_)(R-AH0_)(S P-AA1_N)(D-AH0_N T)
correspondents	(K-AO2_)(R-AH0_)(S P-AA1_N)(D-AH0_N T S)
corresponding	(K-AO2_)(R-AH0_)(S P-AA1_N)(D-IH0_NX)
correspondingly	(K-AO2_)(R-AH0_)(S P-AA1_N)(D-IH0_N)(G L-IY0_Y)
corresponds	(K-AO2_)(R-AH0_)(S P-AA1_N D Z)
corrib	(K-AO1_)(R-IH0_B)
corrick	(K-AO1_)(R-IH0_K)
corridor	(K-AO1_)(R-AH0_)(D-ER0_)
corridors	(K-AO1_)(R-IH0_)(D-ER0_Z)
corrie	(K-AO1_)(R-IY0_Y)
corriere	(K-AO2_R)(Y-EH1_R)
corrigan	(K-AO1_)(R-IH0_)(G-AH0_N)
corriher	(K-AO1_)(R-IH0_)(HH-ER0_)
corrin	(K-AO1_)(R-IH0_N)
corrina	(K-ER0_)(-IY1_Y)(N-AH0_)
corrington	(K-AO1_)(R-IH0_NX)(T-AH0_N)
corriveau	(K-AO1_)(R-IH0_)(V-OW0_W)
corroborate	(K-ER0_)(-AA1_)(B-ER0_)(-EY2_Y T)
corroborated	(K-ER0_)(-AA1_)(B-ER0_)(-EY2_Y)(T-IH0_D)
corroborates	(K-ER0_)(-AO1_)(B-ER0_)(-EY2_Y T S)
corroborating	(K-ER0_)(-AA1_)(B-ER0_)(-EY2_Y)(T-IH0_NX)
corroboration	(K-ER0_)(-AO2_)(B-ER0_)(-EY1_Y)(SH-AH0_N)
corroborative	(K-ER0_)(-AA1_)(B-ER0_)(-AH0_)(T-IH2_V)
corrode	(K-ER0_)(-OW1_W D)
corroded	(K-ER0_)(-OW1_W)(D-IH0_D)
corrodes	(K-ER0_)(-OW1_W D Z)
corron	(K-ER0_)(-AO1_N)
corroon	(K-AO0_)(R-UW1_W N)
corrosion	(K-ER0_)(-OW1_W)(ZH-AH0_N)
corrosive	(K-ER0_)(-OW1_W)(S-IH0_V)
corrow	(K-AO1_)(R-OW0_W)
corrugate	(K-AO1_)(R-AH0_)(G-EY2_Y T)
corrugated	(K-AO1_)(R-AH0_)(G-EY2_Y)(T-AH0_D)
corrupt	(K-ER0_)(-AH1_P T)
corrupted	(K-ER0_)(-AH1_P)(T-IH0_D)
corrupting	(K-ER0_)(-AH1_P)(T-IH0_NX)
corruption	(K-ER0_)(-AH1_P)(SH-AH0_N)
corruptions	(K-ER0_)(-AH1_P)(SH-AH0_N Z)
corruptive	(K-ER0_)(-AH1_P)(T-IH0_V)
corrupts	(K-ER0_)(-AH1_P T S)
corry	(K-AO1_)(R-IY0_Y)
corsa	(K-AO1_)(S-AH0_)
corsage	(K-AO0_R)(S-AA1_ZH)
corsair	(K-AO1_R)(S-EH0_R)
corsaro	(K-ER0_)(S-AA1_)(R-OW0_W)
corse	(K-AO1_R S)
