a	(-A0_)
bienmandado	(B-I0_)(-E0_N)(M-A0_N)(D-A0_)(D-O0_)
bienmesabe	(B-I0_)(-E0_N)(M-E0_)(S-A0_)(B-E0_)
bienoliente	(B-I0_)(-E0_)(N-O0_)(L-I0_)(-E0_N)(T-E0_)
bienquerencia	(B-I0_)(-E0_NG)(-K0_)(-E0_)(R-E0_N)(S-I0_)(-A0_)
bienquerer	(B-I0_)(-E0_NG)(-K0_)(-E0_)(R-E0_R )
bienquisto	(B-I0_)(-E0_NG)(-K0_)(-I0_S)(T-O0_)
bienteveo	(B-I0_)(-E0_N)(T-E0_)(V-E0_)(-O0_)
bienvenido	(B-I0_)(-E0_N)(V-E0_)(N-I0_)(D-O0_)
bienvive	(B-I0_)(-E0_N)(V-I0_)(V-E0_)
bienvivir	(B-I0_)(-E0_N)(V-I0_)(V-I0_R )
bierzo	(B-I0_)(-E0_R)(Z-O0_)
bifloro	(B-I0_F)(L-O0_)(R-O0_)
biforme	(B-I0_)(F-O0_R)(M-E0_)
bifurcar	(B-I0_)(F-U0_R)(K-A0_R )
bifurco	(B-I0_)(F-U0_R)(K-O0_)
biga	(B-I0_)(G-A0_)
bigamia	(B-I0_)(G-A0_)(M-I0_)(-A0_)
bigardear	(B-I0_)(G-A0_R)(D-E0_)(-A0_R )
bigardee	(B-I0_)(G-A0_R)(D-E0_)(-E0_)
bigardo	(B-I0_)(G-A0_R)(D-O0_)
bignoniáceo	(B-I0_G)(N-O0_)(N-I0_)(-A1_)(S-E0_)(-O0_)
bigornia	(B-I0_)(G-O0_R)(N-I0_)(-A0_)
bigote	(B-I0_)(G-O0_)(T-E0_)
bigotudo	(B-I0_)(G-O0_)(T-U0_)(D-O0_)
bikini	(B-I0_)(K-I0_)(N-I0_)
bilao	(B-I0_)(L-A0_)(-O0_)
bilbilitano	(B-I0_L)(B-I0_)(L-I0_)(T-A0_)(N-O0_)
biliar	(B-I0_)(L-I0_)(-A0_R )
biliario	(B-I0_)(L-I0_)(-A0_)(R-I0_)(-O0_)
bilis	(B-I0_)(L-I0_S )
billa	(B-I0_LL)(-A0_)
billalda	(B-I0_LL)(-A0_L)(D-A0_)
billarda	(B-I0_LL)(-A0_R)(D-A0_)
billarista	(B-I0_LL)(-A0_)(R-I0_S)(T-A0_)
billete	(B-I0_LL)(-E0_)(T-E0_)
billetero	(B-I0_LL)(-E0_)(T-E0_)(R-O0_)
billón	(B-I0_LL)(-O1_N )
bilmar	(B-I0_L)(M-A0_R )
bilme	(B-I0_L)(M-E0_)
bilocar	(B-I0_)(L-O0_)(K-A0_R )
bimano	(B-I0_)(M-A0_)(N-O0_)
bimba	(B-I0_M)(B-A0_)
bimbre	(B-I0_M B)(R-E0_)
bimembre	(B-I0_)(M-E0_M B)(R-E0_)
bimestral	(B-I0_)(M-E0_S T)(R-A0_L )
bimestre	(B-I0_)(M-E0_S T)(R-E0_)
bimetalismo	(B-I0_)(M-E0_)(T-A0_)(L-I0_S)(M-O0_)
bina	(B-I0_)(N-A0_)
binadura	(B-I0_)(N-A0_)(D-U0_)(R-A0_)
binan	(B-I0_)(N-A0_N )
binar	(B-I0_)(N-A0_R )
binario	(B-I0_)(N-A0_)(R-I0_)(-O0_)
bine	(B-I0_)(N-E0_)
binen	(B-I0_)(N-E0_N )
bingarrote	(B-I0_NG)(G-A0_RR)(-O0_)(T-E0_)
bingo	(B-I0_NG)(G-O0_)
binguí	(B-I0_NG)(G-I1_)
bino	(B-I0_)(N-O0_)
binocular	(B-I0_)(N-O0_)(K-U0_)(L-A0_R )
binomio	(B-I0_)(N-O0_)(M-I0_)(-O0_)
binza	(B-I0_N)(Z-A0_)
biné	(B-I0_)(N-E1_)
binó	(B-I0_)(N-O1_)
biografiar	(B-I0_)(-O0_G)(R-A0_)(F-I0_)(-A0_R )
biografía	(B-I0_)(-O0_G)(R-A0_)(F-I1_)(-A0_)
biografíe	(B-I0_)(-O0_G)(R-A0_)(F-I1_)(-E0_)
biográfica	(B-I0_)(-O0_G)(R-A1_)(F-I0_)(K-A0_)
biográfico	(B-I0_)(-O0_G)(R-A1_)(F-I0_)(K-O0_)
biología	(B-I0_)(-O0_)(L-O0_X)(-I1_)(-A0_)
biológico	(B-I0_)(-O0_)(L-O1_X)(-I0_)(K-O0_)
biombo	(B-I0_)(-O0_M)(B-O0_)
biopolímero	(B-I0_)(-O0_)(P-O0_)(L-I1_)(M-E0_)(R-O0_)
biopsia	(B-I0_)(-O0_P)(S-I0_)(-A0_)
bioquímico	(B-I0_)(-O0_)(-K0_)(-I1_)(M-I0_)(K-O0_)
biotecnología	(B-I0_)(-O0_)(T-E0_K)(N-O0_)(L-O0_X)(-I1_)(-A0_)
biotopo	(B-I0_)(-O0_)(T-O0_)(P-O0_)
bipartito	(B-I0_)(P-A0_R)(T-I0_)(T-O0_)
biplaza	(B-I0_P)(L-A0_)(Z-A0_)
bipolar	(B-I0_)(P-O0_)(L-A0_R )
bipontino	(B-I0_)(P-O0_N)(T-I0_)(N-O0_)
biquini	(B-I0_)(-K0_)(-I0_)(N-I0_)
birimbao	(B-I0_)(R-I0_M)(B-A0_)(-O0_)
birlador	(B-I0_R)(L-A0_)(D-O0_R )
birlar	(B-I0_R)(L-A0_R )
birle	(B-I0_R)(L-E0_)
birlesco	(B-I0_R)(L-E0_S)(K-O0_)
birlo	(B-I0_R)(L-O0_)
birlocho	(B-I0_R)(L-O0_)(CH-O0_)
birlonga	(B-I0_R)(L-O0_NG)(G-A0_)
birmano	(B-I0_R)(M-A0_)(N-O0_)
birria	(B-I0_RR)(-I0_)(-A0_)
bis	(B-I0_S )
bisabuelo	(B-I0_)(S-A0_)(B-U0_)(-E0_)(L-O0_)
bisagra	(B-I0_)(S-A0_G)(R-A0_)
bisar	(B-I0_)(S-A0_R )
bisbisar	(B-I0_S)(B-I0_)(S-A0_R )
bisbise	(B-I0_S)(B-I0_)(S-E0_)
bisbisear	(B-I0_S)(B-I0_)(S-E0_)(-A0_R )
bisbisee	(B-I0_S)(B-I0_)(S-E0_)(-E0_)
bise	(B-I0_)(S-E0_)
bisecar	(B-I0_)(S-E0_)(K-A0_R )
bisel	(B-I0_)(S-E0_L )
bisela	(B-I0_)(S-E0_)(L-A0_)
biselador	(B-I0_)(S-E0_)(L-A0_)(D-O0_R )
biselan	(B-I0_)(S-E0_)(L-A0_N )
biselar	(B-I0_)(S-E0_)(L-A0_R )
bisele	(B-I0_)(S-E0_)(L-E0_)
biselen	(B-I0_)(S-E0_)(L-E0_N )
biselo	(B-I0_)(S-E0_)(L-O0_)
biselé	(B-I0_)(S-E0_)(L-E1_)
biseló	(B-I0_)(S-E0_)(L-O1_)
bisiesto	(B-I0_)(S-I0_)(-E0_S)(T-O0_)
bismutina	(B-I0_S)(M-U0_)(T-I0_)(N-A0_)
bismuto	(B-I0_S)(M-U0_)(T-O0_)
bisnieto	(B-I0_S)(N-I0_)(-E0_)(T-O0_)
bisojo	(B-I0_)(S-O0_X)(-O0_)
bisonte	(B-I0_)(S-O0_N)(T-E0_)
bisoño	(B-I0_)(S-O0_NY)(-O0_)
bissau	(B-I0_S)(S-A0_)(-U0_)
bistec	(B-I0_S)(T-E0_K )
bisturí	(B-I0_S)(T-U0_)(R-I1_)
bisurco	(B-I0_)(S-U0_R)(K-O0_)
bisutería	(B-I0_)(S-U0_)(T-E0_)(R-I1_)(-A0_)
bit	(B-I0_T )
bita	(B-I0_)(T-A0_)
bitan	(B-I0_)(T-A0_N )
bitar	(B-I0_)(T-A0_R )
bite	(B-I0_)(T-E0_)
biten	(B-I0_)(T-E0_N )
bitinio	(B-I0_)(T-I0_)(N-I0_)(-O0_)
bito	(B-I0_)(T-O0_)
bitongo	(B-I0_)(T-O0_NG)(G-O0_)
bituminoso	(B-I0_)(T-U0_)(M-I0_)(N-O0_)(S-O0_)
bitácora	(B-I0_)(T-A1_)(K-O0_)(R-A0_)
bité	(B-I0_)(T-E1_)
bitó	(B-I0_)(T-O1_)
bivalente	(B-I0_)(V-A0_)(L-E0_N)(T-E0_)
bivalvo	(B-I0_)(V-A0_L)(V-O0_)
bixáceo	(B-I0_X)(-A1_)(S-E0_)(-O0_)
bizantinismo	(B-I0_)(Z-A0_N)(T-I0_)(N-I0_S)(M-O0_)
bizantino	(B-I0_)(Z-A0_N)(T-I0_)(N-O0_)
bizarramente	(B-I0_)(Z-A0_RR)(-A0_)(M-E0_N)(T-E0_)
bizarrear	(B-I0_)(Z-A0_RR)(-E0_)(-A0_R )
bizarree	(B-I0_)(Z-A0_RR)(-E0_)(-E0_)
bizarro	(B-I0_)(Z-A0_RR)(-O0_)
bizarría	(B-I0_)(Z-A0_RR)(-I1_)(-A0_)
bizca	(B-I0_Z)(K-A0_)
bizcan	(B-I0_Z)(K-A0_N )
bizcar	(B-I0_Z)(K-A0_R )
bizco	(B-I0_Z)(K-O0_)
bizcochada	(B-I0_Z)(K-O0_)(CH-A0_)(D-A0_)
bizcochado	(B-I0_Z)(K-O0_)(CH-A0_)(D-O0_)
bizcochar	(B-I0_Z)(K-O0_)(CH-A0_R )
bizcoche	(B-I0_Z)(K-O0_)(CH-E0_)
bizcochero	(B-I0_Z)(K-O0_)(CH-E0_)(R-O0_)
bizcocho	(B-I0_Z)(K-O0_)(CH-O0_)
bizcornear	(B-I0_Z)(K-O0_R)(N-E0_)(-A0_R )
bizcornee	(B-I0_Z)(K-O0_R)(N-E0_)(-E0_)
bizcorneto	(B-I0_Z)(K-O0_R)(N-E0_)(T-O0_)
bizcos	(B-I0_Z)(K-O0_S )
bizcó	(B-I0_Z)(K-O1_)
bizmar	(B-I0_Z)(M-A0_R )
bizme	(B-I0_Z)(M-E0_)
biznieto	(B-I0_Z)(N-I0_)(-E0_)(T-O0_)
bizque	(B-I0_)(Z-K0_)(-E0_)
bizquear	(B-I0_)(Z-K0_)(-E0_)(-A0_R )
bizquee	(B-I0_)(Z-K0_)(-E0_)(-E0_)
bizquera	(B-I0_)(Z-K0_)(-E0_)(R-A0_)
bizqué	(B-I0_)(Z-K0_)(-E1_)
biógrafo	(B-I0_)(-O1_G)(R-A0_)(F-O0_)
biólogo	(B-I0_)(-O1_)(L-O0_)(G-O0_)
blanca	(L-A0_NG)(K-A0_)
blancal	(L-A0_NG)(K-A0_L )
blancazo	(L-A0_NG)(K-A0_)(Z-O0_)
blanchete	(L-A0_N)(CH-E0_)(T-E0_)
blanco	(L-A0_NG)(K-O0_)
blancor	(L-A0_NG)(K-O0_R )
blancote	(L-A0_NG)(K-O0_)(T-E0_)
blancura	(L-A0_NG)(K-U0_)(R-A0_)
blancuzco	(L-A0_NG)(K-U0_Z)(K-O0_)
blanda	(L-A0_N)(D-A0_)
blandamente	(L-A0_N)(D-A0_)(M-E0_N)(T-E0_)
blandan	(L-A0_N)(D-A0_N )
blande	(L-A0_N)(D-E0_)
blandeador	(L-A0_N)(D-E0_)(-A0_)(D-O0_R )
blandear	(L-A0_N)(D-E0_)(-A0_R )
blandee	(L-A0_N)(D-E0_)(-E0_)
blanden	(L-A0_N)(D-E0_N )
blandengue	(L-A0_N)(D-E0_NG)(G-E0_)
blandense	(L-A0_N)(D-E0_N)(S-E0_)
blandicia	(L-A0_N)(D-I0_)(S-I0_)(-A0_)
blandir	(L-A0_N)(D-I0_R )
blando	(L-A0_N)(D-O0_)
blandos	(L-A0_N)(D-O0_S )
blandura	(L-A0_N)(D-U0_)(R-A0_)
blandón	(L-A0_N)(D-O1_N )
blanqueaba	(L-A0_NG)(-K0_)(-E0_)(-A0_)(B-A0_)
blanqueaban	(L-A0_NG)(-K0_)(-E0_)(-A0_)(B-A0_N )
blanqueado	(L-A0_NG)(-K0_)(-E0_)(-A0_)(D-O0_)
blanqueador	(L-A0_NG)(-K0_)(-E0_)(-A0_)(D-O0_R )
blanqueadura	(L-A0_NG)(-K0_)(-E0_)(-A0_)(D-U0_)(R-A0_)
blanqueamiento	(L-A0_NG)(-K0_)(-E0_)(-A0_)(M-I0_)(-E0_N)(T-O0_)
blanqueamos	(L-A0_NG)(-K0_)(-E0_)(-A0_)(M-O0_S )
blanquean	(L-A0_NG)(-K0_)(-E0_)(-A0_N )
blanqueando	(L-A0_NG)(-K0_)(-E0_)(-A0_N)(D-O0_)
blanquear	(L-A0_NG)(-K0_)(-E0_)(-A0_R )
blanquearan	(L-A0_NG)(-K0_)(-E0_)(-A0_)(R-A0_N )
blanqueare	(L-A0_NG)(-K0_)(-E0_)(-A0_)(R-E0_)
blanquearemos	(L-A0_NG)(-K0_)(-E0_)(-A0_)(R-E0_)(M-O0_S )
blanquearen	(L-A0_NG)(-K0_)(-E0_)(-A0_)(R-E0_N )
blanquearle	(L-A0_NG)(-K0_)(-E0_)(-A0_R)(L-E0_)
blanquearlo	(L-A0_NG)(-K0_)(-E0_)(-A0_R)(L-O0_)
blanquearon	(L-A0_NG)(-K0_)(-E0_)(-A0_)(R-O0_N )
blanquearse	(L-A0_NG)(-K0_)(-E0_)(-A0_R)(S-E0_)
blanqueará	(L-A0_NG)(-K0_)(-E0_)(-A0_)(R-A1_)
blanquearán	(L-A0_NG)(-K0_)(-E0_)(-A0_)(R-A1_N )
blanquearás	(L-A0_NG)(-K0_)(-E0_)(-A0_)(R-A1_S )
blanquearé	(L-A0_NG)(-K0_)(-E0_)(-A0_)(R-E1_)
blanquearía	(L-A0_NG)(-K0_)(-E0_)(-A0_)(R-I1_)(-A0_)
blanquearíamos	(L-A0_NG)(-K0_)(-E0_)(-A0_)(R-I1_)(-A0_)(M-O0_S )
blanquearían	(L-A0_NG)(-K0_)(-E0_)(-A0_)(R-I1_)(-A0_N )
blanqueas	(L-A0_NG)(-K0_)(-E0_)(-A0_S )
blanquease	(L-A0_NG)(-K0_)(-E0_)(-A0_)(S-E0_)
blanqueasen	(L-A0_NG)(-K0_)(-E0_)(-A0_)(S-E0_N )
blanqueaste	(L-A0_NG)(-K0_)(-E0_)(-A0_S)(T-E0_)
blanquece	(L-A0_NG)(-K0_)(-E0_)(S-E0_)
blanquecedor	(L-A0_NG)(-K0_)(-E0_)(S-E0_)(D-O0_R )
blanquecen	(L-A0_NG)(-K0_)(-E0_)(S-E0_N )
blanquecer	(L-A0_NG)(-K0_)(-E0_)(S-E0_R )
blanquecino	(L-A0_NG)(-K0_)(-E0_)(S-I0_)(N-O0_)
blanqueció	(L-A0_NG)(-K0_)(-E0_)(S-I0_)(-O1_)
blanquecí	(L-A0_NG)(-K0_)(-E0_)(S-I1_)
blanquecía	(L-A0_NG)(-K0_)(-E0_)(S-I1_)(-A0_)
blanquee	(L-A0_NG)(-K0_)(-E0_)(-E0_)
blanqueemos	(L-A0_NG)(-K0_)(-E0_)(-E0_)(M-O0_S )
blanqueen	(L-A0_NG)(-K0_)(-E0_)(-E0_N )
blanqueo	(L-A0_NG)(-K0_)(-E0_)(-O0_)
blanquete	(L-A0_NG)(-K0_)(-E0_)(T-E0_)
blanquezca	(L-A0_NG)(-K0_)(-E0_Z)(K-A0_)
blanquezco	(L-A0_NG)(-K0_)(-E0_Z)(K-O0_)
blanqueábamos	(L-A0_NG)(-K0_)(-E0_)(-A1_)(B-A0_)(M-O0_S )
blanqueándole	(L-A0_NG)(-K0_)(-E0_)(-A1_N)(D-O0_)(L-E0_)
blanqueándolo	(L-A0_NG)(-K0_)(-E0_)(-A1_N)(D-O0_)(L-O0_)
blanqueándose	(L-A0_NG)(-K0_)(-E0_)(-A1_N)(D-O0_)(S-E0_)
blanqueáramos	(L-A0_NG)(-K0_)(-E0_)(-A1_)(R-A0_)(M-O0_S )
blanqueáremos	(L-A0_NG)(-K0_)(-E0_)(-A1_)(R-E0_)(M-O0_S )
blanqueásemos	(L-A0_NG)(-K0_)(-E0_)(-A1_)(S-E0_)(M-O0_S )
blanqueé	(L-A0_NG)(-K0_)(-E0_)(-E1_)
blanqueó	(L-A0_NG)(-K0_)(-E0_)(-O1_)
blanquición	(L-A0_NG)(-K0_)(-I0_)(S-I0_)(-O1_N )
blanquimiento	(L-A0_NG)(-K0_)(-I0_)(M-I0_)(-E0_N)(T-O0_)
blanquinoso	(L-A0_NG)(-K0_)(-I0_)(N-O0_)(S-O0_)
blanquizal	(L-A0_NG)(-K0_)(-I0_)(Z-A0_L )
blanquizar	(L-A0_NG)(-K0_)(-I0_)(Z-A0_R )
blasfemable	(L-A0_S)(F-E0_)(M-A0_B)(L-E0_)
blasfemador	(L-A0_S)(F-E0_)(M-A0_)(D-O0_R )
blasfemante	(L-A0_S)(F-E0_)(M-A0_N)(T-E0_)
blasfemar	(L-A0_S)(F-E0_)(M-A0_R )
blasfematorio	(L-A0_S)(F-E0_)(M-A0_)(T-O0_)(R-I0_)(-O0_)
blasfeme	(L-A0_S)(F-E0_)(M-E0_)
blasfemia	(L-A0_S)(F-E0_)(M-I0_)(-A0_)
blasfemo	(L-A0_S)(F-E0_)(M-O0_)
blasmar	(L-A0_S)(M-A0_R )
blasonador	(L-A0_)(S-O0_)(N-A0_)(D-O0_R )
blasonar	(L-A0_)(S-O0_)(N-A0_R )
blastema	(L-A0_S)(T-E0_)(M-A0_)
blastodermo	(L-A0_S)(T-O0_)(D-E0_R)(M-O0_)
blasón	(L-A0_)(S-O1_N )
ble	(L-E0_)
bledo	(L-E0_)(D-O0_)
blefaritis	(L-E0_)(F-A0_)(R-I0_)(T-I0_S )
blefaroplastia	(L-E0_)(F-A0_)(R-O0_P)(L-A0_S)(T-I0_)(-A0_)
blenda	(L-E0_N)(D-A0_)
blenorragia	(L-E0_)(N-O0_RR)(-A0_X)(-I0_)(-A0_)
blenorrea	(L-E0_)(N-O0_RR)(-E0_)(-A0_)
blincar	(L-I0_NG)(K-A0_R )
blinco	(L-I0_NG)(K-O0_)
blinda	(L-I0_N)(D-A0_)
blindar	(L-I0_N)(D-A0_R )
blinde	(L-I0_N)(D-E0_)
bloc	(L-O0_K )
bloca	(L-O0_)(K-A0_)
blocao	(L-O0_)(K-A0_)(-O0_)
blondo	(L-O0_N)(D-O0_)
bloque	(L-O0_)(-K0_)(-E0_)
bloquea	(L-O0_)(-K0_)(-E0_)(-A0_)
bloqueador	(L-O0_)(-K0_)(-E0_)(-A0_)(D-O0_R )
bloquean	(L-O0_)(-K0_)(-E0_)(-A0_N )
bloquear	(L-O0_)(-K0_)(-E0_)(-A0_R )
bloquearle	(L-O0_)(-K0_)(-E0_)(-A0_R)(L-E0_)
bloquearme	(L-O0_)(-K0_)(-E0_)(-A0_R)(M-E0_)
bloquearnos	(L-O0_)(-K0_)(-E0_)(-A0_R)(N-O0_S )
bloquearte	(L-O0_)(-K0_)(-E0_)(-A0_R)(T-E0_)
bloquee	(L-O0_)(-K0_)(-E0_)(-E0_)
bloqueen	(L-O0_)(-K0_)(-E0_)(-E0_N )
bloqueo	(L-O0_)(-K0_)(-E0_)(-O0_)
bloqueándolo	(L-O0_)(-K0_)(-E0_)(-A1_N)(D-O0_)(L-O0_)
bloqueé	(L-O0_)(-K0_)(-E0_)(-E1_)
bloqueó	(L-O0_)(-K0_)(-E0_)(-O1_)
blues	(L-U0_)(-E0_S )
blusa	(L-U0_)(S-A0_)
boa	(B-O0_)(-A0_)
boalar	(B-O0_)(-A0_)(L-A0_R )
boardilla	(B-O0_)(-A0_R)(D-I0_LL)(-A0_)
boato	(B-O0_)(-A0_)(T-O0_)
boba	(B-O0_)(B-A0_)
bobada	(B-O0_)(B-A0_)(D-A0_)
bobalicón	(B-O0_)(B-A0_)(L-I0_)(K-O1_N )
bobamente	(B-O0_)(B-A0_)(M-E0_N)(T-E0_)
bobear	(B-O0_)(B-E0_)(-A0_R )
bobee	(B-O0_)(B-E0_)(-E0_)
bobera	(B-O0_)(B-E0_)(R-A0_)
bobillo	(B-O0_)(B-I0_LL)(-O0_)
bobina	(B-O0_)(B-I0_)(N-A0_)
bobinadora	(B-O0_)(B-I0_)(N-A0_)(D-O0_)(R-A0_)
bobinan	(B-O0_)(B-I0_)(N-A0_N )
bobinar	(B-O0_)(B-I0_)(N-A0_R )
bobine	(B-O0_)(B-I0_)(N-E0_)
bobinen	(B-O0_)(B-I0_)(N-E0_N )
bobino	(B-O0_)(B-I0_)(N-O0_)
bobiné	(B-O0_)(B-I0_)(N-E1_)
bobinó	(B-O0_)(B-I0_)(N-O1_)
bobo	(B-O0_)(B-O0_)
bobos	(B-O0_)(B-O0_S )
boca	(B-O0_)(K-A0_)
bocabajo	(B-O0_)(K-A0_)(B-A0_X)(-O0_)
bocabarra	(B-O0_)(K-A0_)(B-A0_RR)(-A0_)
bocacalle	(B-O0_)(K-A0_)(K-A0_LL)(-E0_)
bocacaz	(B-O0_)(K-A0_)(K-A0_Z )
bocacha	(B-O0_)(K-A0_)(CH-A0_)
bocada	(B-O0_)(K-A0_)(D-A0_)
bocadear	(B-O0_)(K-A0_)(D-E0_)(-A0_R )
bocadee	(B-O0_)(K-A0_)(D-E0_)(-E0_)
bocadillo	(B-O0_)(K-A0_)(D-I0_LL)(-O0_)
bocadito	(B-O0_)(K-A0_)(D-I0_)(T-O0_)
bocado	(B-O0_)(K-A0_)(D-O0_)
bocajarro	(B-O0_)(K-A0_X)(-A0_RR)(-O0_)
bocal	(B-O0_)(K-A0_L )
bocamanga	(B-O0_)(K-A0_)(M-A0_NG)(G-A0_)
bocamina	(B-O0_)(K-A0_)(M-I0_)(N-A0_)
bocana	(B-O0_)(K-A0_)(N-A0_)
bocanada	(B-O0_)(K-A0_)(N-A0_)(D-A0_)
bocarte	(B-O0_)(K-A0_R)(T-E0_)
bocata	(B-O0_)(K-A0_)(T-A0_)
bocateja	(B-O0_)(K-A0_)(T-E0_X)(-A0_)
bocatijera	(B-O0_)(K-A0_)(T-I0_X)(-E0_)(R-A0_)
bocatoma	(B-O0_)(K-A0_)(T-O0_)(M-A0_)
bocaza	(B-O0_)(K-A0_)(Z-A0_)
bocear	(B-O0_)(S-E0_)(-A0_R )
bocece	(B-O0_)(S-E0_)(S-E0_)
bocee	(B-O0_)(S-E0_)(-E0_)
bocel	(B-O0_)(S-E0_L )
bocelar	(B-O0_)(S-E0_)(L-A0_R )
bocelete	(B-O0_)(S-E0_)(L-E0_)(T-E0_)
bocera	(B-O0_)(S-E0_)(R-A0_)
boceto	(B-O0_)(S-E0_)(T-O0_)
bocetos	(B-O0_)(S-E0_)(T-O0_S )
bocezar	(B-O0_)(S-E0_)(Z-A0_R )
bocezo	(B-O0_)(S-E0_)(Z-O0_)
bocha	(B-O0_)(CH-A0_)
bochar	(B-O0_)(CH-A0_R )
boche	(B-O0_)(CH-E0_)
bochinche	(B-O0_)(CH-I0_N)(CH-E0_)
bochinchero	(B-O0_)(CH-I0_N)(CH-E0_)(R-O0_)
bochista	(B-O0_)(CH-I0_S)(T-A0_)
bochorno	(B-O0_)(CH-O0_R)(N-O0_)
bochornoso	(B-O0_)(CH-O0_R)(N-O0_)(S-O0_)
bocina	(B-O0_)(S-I0_)(N-A0_)
bocinada	(B-O0_)(S-I0_)(N-A0_)(D-A0_)
bocinado	(B-O0_)(S-I0_)(N-A0_)(D-O0_)
bocinan	(B-O0_)(S-I0_)(N-A0_N )
bocinar	(B-O0_)(S-I0_)(N-A0_R )
bocine	(B-O0_)(S-I0_)(N-E0_)
bocinen	(B-O0_)(S-I0_)(N-E0_N )
bocinero	(B-O0_)(S-I0_)(N-E0_)(R-O0_)
bocino	(B-O0_)(S-I0_)(N-O0_)
bociné	(B-O0_)(S-I0_)(N-E1_)
bocinó	(B-O0_)(S-I0_)(N-O1_)
bocio	(B-O0_)(S-I0_)(-O0_)
bocudo	(B-O0_)(K-U0_)(D-O0_)
bocín	(B-O0_)(S-I1_N )
bode	(B-O0_)(D-E0_)
bodega	(B-O0_)(D-E0_)(G-A0_)
bodeguero	(B-O0_)(D-E0_)(G-E0_)(R-O0_)
bodegón	(B-O0_)(D-E0_)(G-O1_N )
bodigo	(B-O0_)(D-I0_)(G-O0_)
bodijo	(B-O0_)(D-I0_X)(-O0_)
bodocal	(B-O0_)(D-O0_)(K-A0_L )
bodoque	(B-O0_)(D-O0_)(-K0_)(-E0_)
bodoquera	(B-O0_)(D-O0_)(-K0_)(-E0_)(R-A0_)
bodorrio	(B-O0_)(D-O0_RR)(-I0_)(-O0_)
bodrio	(B-O0_D)(R-I0_)(-O0_)
boezuelo	(B-O0_)(-E0_)(Z-U0_)(-E0_)(L-O0_)
bofar	(B-O0_)(F-A0_R )
bofe	(B-O0_)(F-E0_)
bofena	(B-O0_)(F-E0_)(N-A0_)
bofetada	(B-O0_)(F-E0_)(T-A0_)(D-A0_)
bofetón	(B-O0_)(F-E0_)(T-O1_N )
bofia	(B-O0_)(F-I0_)(-A0_)
bofo	(B-O0_)(F-O0_)
boga	(B-O0_)(G-A0_)
bogan	(B-O0_)(G-A0_N )
bogar	(B-O0_)(G-A0_R )
bogavante	(B-O0_)(G-A0_)(V-A0_N)(T-E0_)
bogo	(B-O0_)(G-O0_)
bogotano	(B-O0_)(G-O0_)(T-A0_)(N-O0_)
bogue	(B-O0_)(G-E0_)
bogué	(B-O0_)(G-E1_)
bogó	(B-O0_)(G-O1_)
bohardilla	(B-O0_)(-A0_R)(D-I0_LL)(-A0_)
bohemio	(B-O0_)(-E0_)(M-I0_)(-O0_)
bohordar	(B-O0_)(-O0_R)(D-A0_R )
bohordo	(B-O0_)(-O0_R)(D-O0_)
boicot	(B-O0_)(-I0_)(K-O0_T )
boicotear	(B-O0_)(-I0_)(K-O0_)(T-E0_)(-A0_R )
boicotee	(B-O0_)(-I0_)(K-O0_)(T-E0_)(-E0_)
boicoteo	(B-O0_)(-I0_)(K-O0_)(T-E0_)(-O0_)
boina	(B-O0_)(-I0_)(N-A0_)
boira	(B-O0_)(-I0_)(R-A0_)
boj	(B-O0_X )
boja	(B-O0_X)(-A0_)
bojan	(B-O0_X)(-A0_N )
bojar	(B-O0_X)(-A0_R )
boje	(B-O0_X)(-E0_)
bojear	(B-O0_X)(-E0_)(-A0_R )
bojedal	(B-O0_X)(-E0_)(D-A0_L )
bojee	(B-O0_X)(-E0_)(-E0_)
bojen	(B-O0_X)(-E0_N )
bojeo	(B-O0_X)(-E0_)(-O0_)
bojiganga	(B-O0_X)(-I0_)(G-A0_NG)(G-A0_)
bojo	(B-O0_X)(-O0_)
bojé	(B-O0_X)(-E1_)
bojó	(B-O0_X)(-O1_)
bol	(B-O0_L )
bola	(B-O0_)(L-A0_)
bolandista	(B-O0_)(L-A0_N)(D-I0_S)(T-A0_)
bolar	(B-O0_)(L-A0_R )
bolardo	(B-O0_)(L-A0_R)(D-O0_)
bolchevique	(B-O0_L)(CH-E0_)(V-I0_)(-K0_)(-E0_)
bolcheviquismo	(B-O0_L)(CH-E0_)(V-I0_)(-K0_)(-I0_S)(M-O0_)
bolchevismo	(B-O0_L)(CH-E0_)(V-I0_S)(M-O0_)
boldina	(B-O0_L)(D-I0_)(N-A0_)
boldo	(B-O0_L)(D-O0_)
boleador	(B-O0_)(L-E0_)(-A0_)(D-O0_R )
bolear	(B-O0_)(L-E0_)(-A0_R )
bolee	(B-O0_)(L-E0_)(-E0_)
bolero	(B-O0_)(L-E0_)(R-O0_)
boles	(B-O0_)(L-E0_S )
boletar	(B-O0_)(L-E0_)(T-A0_R )
bolete	(B-O0_)(L-E0_)(T-E0_)
boletero	(B-O0_)(L-E0_)(T-E0_)(R-O0_)
boleto	(B-O0_)(L-E0_)(T-O0_)
boletín	(B-O0_)(L-E0_)(T-I1_N )
boliche	(B-O0_)(L-I0_)(CH-E0_)
bolichear	(B-O0_)(L-I0_)(CH-E0_)(-A0_R )
bolichee	(B-O0_)(L-I0_)(CH-E0_)(-E0_)
bolichero	(B-O0_)(L-I0_)(CH-E0_)(R-O0_)
